,Title,Department,Details,Amount,State,City,Date
820,Overspending challan,FIR and Complaints,"Wrong charges told for over speeding. Pressure was on paying bribe.
Constable. No name plate wore
25-Mar-2019 around 7:15 AM
NH-1 Near Gannaur Flyover...","1,000", Haryana,Sonipat,"March 25, 2019"
821,Demand of a bribe by a police constable,Autorickshaws,"Constable name. Sushil kumar shukla
Date. 25.03.2019
Time. 4:33 pm
Circle officer (CO). Mohammadabad
Tehsil. Mohammadabad
District. Ghazipur...","5,000", Uttar Pradesh,Ghazipur,"March 25, 2019"
822,"Refurbished 6.5â³ Blue Swirl Design Hoverboard, Bag & Bluetooth Deal UK",Business Visa,"Buy online best and affordable Refurbished Blue Swirl Design Hoverboard, Bag & Bluetooth Deal UK at Smart Boards UK (smartboardsuk.com) at best market...","2,200", Punjab,Abohar,"March 25, 2019"
823,Mental harrassment for bribe and gifts,,"I m working for the same organisation. Our boss continuesly demands gifts, mobile, money etc. If his requirements is not fulfilled by any one then he ...","15,000", Maharashtra,Nagpur,"March 24, 2019"
824,BANK MANAGER asking give me extra money for sanction any loan ,Loans,"Patchalatadiparru village, patchalatadiparru post 
ANDHRA BANK Patchalatadiparru
Ponnur Mondal 
Guntur D.t 
A complaint on Bank manager ...he showing ...","10,000", Andhra Pradesh,Ponnur,"March 24, 2019"
825,I was cornered to pay 1000 even after I accepted to pay proper fine,"Traffic Fines, Penalties, Rules","I was driving from 1st main and turning left at mission road next to income tax department office. I know I just slipped signal so I stopped, but the ...","1,000", Karnataka,Bangalore,"March 24, 2019"
826,Cfvcdxffdcfrdxdfc,College Leaving Certificate,Dcffcfsdfddfdsrdxdfdxddddddddddddd...,10, Assam,Abhayapuri,"March 23, 2019"
827,Charging higher than MRP,Fire License,"I was traveling in a govt bus from Madurai to Salem

Inbetween the bus entered a ground and there was a poorly maintained hotel named (HOTEL RASI) 

A...",5, Tamil Nadu,Karur,"March 22, 2019"
828,Traffic police asked me to pay 2000 as bribe for letting me go with my bike,Number Plates and Vehicle Registration,I came from gujarat to maharashtra. and a police officer stopped me and asked to show documents. i did not pay road tax or did not have MH number plat...,"2,000", Maharashtra,Pune,"March 22, 2019"
829,For marriage certificate,Certificates,"Raju was the officer who took a 100 rs bribe in front of me.  The fees was 150rs. He took 250.
This was at the sub-registar office in Jayanagar. 
...",100, Karnataka,Bangalore,"March 21, 2019"
830,Market valution fixde to IGR Office,Encumbrance Certificate,officer name ditels nagesh ...,"50,000", Karnataka,Bangalore,"March 21, 2019"
831,Police verification,Verification and Certificates,Paid bribe to madiwala police...,500, Karnataka,Bangalore,"March 20, 2019"
832,To get conduct certificate,FIR and Complaints,"Paid bribe to si venkata ramana, ramesh etc...",500, Andhra Pradesh,Kadapa,"March 20, 2019"
833,Supercharger - RC Crawler,Loan Sanctioning,We all know that the supercharger has proven to be one of the most effective means for obtaining increased power from a domestic combustion engine wit...,"2,369", Uttar Pradesh,Adari,"March 20, 2019"
834,AR15 LPK and AR15 Lower Part Kit at AR15handguard.com,Sales Tax,The AR15 LPK or AR15 Lower Part Kit or AR15 Lower Parts Kit at AR15handguard.com is made of premium quality and 100% made in the USA and also these ki...,"2,200", Uttar Pradesh,Adari,"March 19, 2019"
835,Buy 8178 Black - Cigarette Case - Plastic Flip Top - BLACK - King Size,Visa,"Buy online best and affordable 8178 Black Cigarette Case and Plastic Flip Top - BLACK - King Size of about 3.5"" x 2.375"" x 1.25 at https://hardworking...","2,200", Uttar Pradesh,Achhnera,"March 19, 2019"
836,Buy Best Hoverboard Silicone Case UK at Smartboardsuk.com,VAT,"Buy online best, cheap and affordable hoverboards & hoverboard silicone case UK from Smart Boards UK (smartboardsuk.com) at best market price, with 1 ...","2,259", Uttar Pradesh,Adari,"March 19, 2019"
837,Regarding release of my stolen vehicle from the police station where it was found,Verification and Certificates,"My bike was stolen on 21 December 2018. And i fired a FIR against it.
The police officer upon finding the bike asked me for a bribe of 2500 which on a...","1,500", Uttar Pradesh,Etawah,"March 17, 2019"
838,Bribe in the name of Handling charges at JP Nagar Registrar office,Property Registration,The builder asked us to pay Handling charges to a Agent who told us that to register our flat he has to bribe the registrar and his support staff with...,"13,000", Karnataka,Bangalore,"March 17, 2019"
839,Voter registeration,Voter Registration,I went to doranda nagar nigam office for new voter registereation he charged me 50 rs he has charged the same to many people although voter card regis...,50, Jharkhand,Ranchi,"March 17, 2019"
840,Marriage certificate,Aadhaar Card Process,Marriage officer took 500 rs bribe...,500, Karnataka,Mangalore,"March 17, 2019"
841,Illegal temporary sewage connection,Building and Housing,M y neighbour has knocked down his old house and is putting up a duplex. He paid Rs. 50000 bribe to be given a temporary (illegal) sewage connection f...,"50,000", Tamil Nadu,Chennai,"March 16, 2019"
842,Bribe to avoid installing a transformer,Transformers,My neighbour knocked down his old house and is putting up a duplex. His new building includes a large no of airconditioners and other appliances. He w...,"2,00,000", Tamil Nadu,Chennai,"March 16, 2019"
843,Plan approval in Chennai,Building and Housing,My neighbour knocked down his old house and is currently building a duplex. He paid 2 lakhs to  the Chennai Metropolitan Development Authority to get ...,"2,00,000", Tamil Nadu,Chennai,"March 16, 2019"
844,I paid 200 INR for Police Verification for passport,Verification and Certificates,"Name of the Officers - Kale sir and Khatale sir
Date of the Incident - 9 March 2019
Time of the Incident - 5:00 PM
Location of the Incident - Nashikro...",200, Maharashtra,Nashik,"March 16, 2019"
845,Bribe report,Marriage Certificate and Registration,I don't want to mention my name. I work in a large IT firm and taking care of a big team. I recently got married. I want to register my marriage. Sinc...,100, Kerala,Tiruchirapalli,"March 15, 2019"
846,Passport verification,Police Verification for Passport,Paid 500 for getting passport verification done....,500, Karnataka,Bangalore,"March 15, 2019"
847,"Shantipath u.s embassy chowk,werw there on dutt by 10","Traffic Fines, Penalties, Rules","Shantipath u.s embassy chowk,two person werw there on dutt by 10 A.m.i had asked him about where to oark the car.he stopped me asked paper.i have show...","1,500", Delhi,New Delhi,"March 14, 2019"
848,Cyclone ,Service Tax,"Upon many requests we at RB Innovations (rbinnovations.com) introduce the Cyclone ""S"" Series Cold Air Intake System (cyclone air filters) that...",289, Uttar Pradesh,Achhnera,"March 14, 2019"
849,Bribe for water connection,Building and Housing,I have been asked bribe for providing new water supply to my house. A person acts as an agent and asking lot of money. Kindly take an action...,"40,000", Tamil Nadu,Coimbatore,"March 13, 2019"
850,House tax bribe,Tax,It was bill collector who got money at my home. The person gave house tax book and received sum of 20000 rs as a bribe...,"20,009", Tamil Nadu,Coimbatore,"March 13, 2019"
851,AR15 Buffer Tube â AR Buffer Tube â A2 Buffer Tube,Certificates,"Browse and buy online various buffer tube kits and assemblies, A2 Buffer Tube Kit, AR Buffer Tube, AR15 Buffer Tube, a1 a2 buffer tube & AR15 Pistol B...","2,896", Uttar Pradesh,Achhnera,"March 13, 2019"
852,Stainless Steel & Faux Leather Cigarette Pocket Case â Hardworkingproducts.com,Customs Check and Clearance,"This Stainless Steel & Faux Leather Cigarette Pocket Case is a really nice case that magnets shut.  It is doubtless faux leather, but it feels real ni...","2,236", Uttar Pradesh,Achhnera,"March 13, 2019"
853,Police asked bribe for verifing passport documents. ,Verification and Certificates,Police asked bribe for verifying passport documents. even after a week getting the intimation mail from the passport Seva that the police verification...,200, Tamil Nadu,Chennai,"March 13, 2019"
854,Refurbished Hoverboard Segway/Swegway For Sale UK â Smartboardsuk.com,Loans,Cheap and best refurbished hoverboards segway/swegway for sale in UK from Smartboardsuk.com. Choose from our high quality selection of refurbished and...,"2,230", Uttar Pradesh,Achhnera,"March 13, 2019"
855,Bribe by police,FIR and Complaints,11-03-2019 at 10 am at Pondy Bazzar police station by SSI Ganesh...,"1,500", Tamil Nadu,Chennai,"March 12, 2019"
856,For signing amount to pass the bill for the salary of the primary teacher ,College Leaving Certificate,"Name of Officer: 
Designation of Officer:  Senior Teacher
Date of Incident : 06/03/2019
Time of Incident : 2:00PM
Location of the Incident : Mainpuri ...","5,000", Uttar Pradesh,Mainpuri,"March 12, 2019"
857,Bribe paid at Hosur Sub Registrar Office for Property Registration,Registration of Property,I had to pay a Rs. 25000 in cash to a lawyer/facilitator at Hosur Sub Registrar Office  on Friday 8-March-2019 for registering a property....,"25,000", Tamil Nadu,Dharmapuri,"March 12, 2019"
858,BRIBE TAKEN BY TRAFFIC  HAWALDAR GULSHER TADVI AT TEEN HAAATH NAKA THANE,Entry Tax,Today at around 9.00 am my car met with an accident at teen haath naka in Thane. My husband was driving the car on his way to work and as the car ahea...,"5,000", Maharashtra,Thane,"March 12, 2019"
859,They asked me 10000 k for carrying weed,,I bought 2 small pack of weed and police on bike took my stuff and 1200-1400 rs . this was also an act of harassment . everyone knows that weed in Ind...,"1,300", Uttar Pradesh,Ghaziabad,"March 10, 2019"
860,Bribe for police verification for passport,Verification and Certificates,I was asked to pay for police verification . And to my surprise I got to know this is regular process by them. Balkrushn Parmar at Makarpura Police St...,150, Gujarat,Vadodara,"March  9, 2019"
861,TUCS TRIPLICANE ,Others,"The present Managing Director of Tucs (TRIPICANE URBAN CO-OPERATIVE SOCIETY). head office ,156, big street ,Triplicane.   chennai.

The managing Direc...","20,000", Tamil Nadu,Chennai,"March  9, 2019"
862,Government Bus conductor and driver's corruption ,Public Transport,Bus ticket cost is 435/-but conductor and driver takes 500 from  all passengers and if asks what is this they mis behaves and scolds that leave the bu...,65, Andhra Pradesh,Eluru,"March  8, 2019"
863,PAID BRIBE FOR REGISTRATION OF PARTNERSHIP DEED,Certificates,I WANTED TO DO MY PARTNERSHIP DEED REGISTERED FOR BANKING PURPOSES FOR WHICH THE OFFICIAL AMOUNT WAS NOT MORE THAN RS.2500 BUT FOR THE SAME I HAD TO P...,"8,000", Delhi,New Delhi,"March  7, 2019"
864,I have gone ther to know my PAN CARD Number and the officer there have asked me for Rs 700 ,PAN,"I have gone in Old Income tax office building today near by Asansol AG Church School, Dist. - Paschim Burdwan, West Bengal.
I have gone there for my k...",100, West Bengal,Asansol,"March  7, 2019"
865,Great Vigor BV-1 Supercharger â RBinnovations.com,Others,"RBinnovations.com visit us in store or online for the bests deals for Great Vigor BV-1 Supercharger and radio controlled products, call us on 315-451-...","2,596", Tamil Nadu,Udhagamandalam,"March  7, 2019"
866,Powermatic III or 3 Cigarette Rolling Machine For Sale,Loans,Powermatic III or Powermatic 3 Cigarette Machine is the best and affordable way to save hundreds of dollars a year as an alternative of buying package...,"2,869", Tamil Nadu,Oddanchatram,"March  7, 2019"
867,Bijli chori,Illegal Power Theft,Madhuri Devi  kaa makan me bijli ki chori direct ho rahi hai  iska complane  bahut bar Kar chukka hu par department wale paise lekar chup ho jata hai ...,"20,000", Bihar,Gaya,"March  6, 2019"
868,Https://www.ar15handguard.com/ar-15-foregrip-bipod-combo,Others,"Get the best and high quality ar 15 foregrip bipod, ar 15 foregrip bipod for sale, ar 15 foregrip bipod keymod with the most effective and affordable ...","2,963", Delhi,New Delhi,"March  6, 2019"
869,"Buy Best, Cheap & High Quality Hoverboards UK at Smartboardsuk.com",Others,"Are you looking for best, cheap and high quality hoverboards UK, segway/swegway UK, hoverboard segway spare parts and cheap hoverboard repair services...","2,200", Andhra Pradesh,Nellore,"March  6, 2019"
870,Police Officer Came For Passport Verification,,"Date: 2nd March 2019

Time: 3:30-4:00

Address: 27, 3rd Floor, Aditya Residency, Bldg. 11 - 2, 1st Cross, 3rd Main Road, Pukhraj Layout, Adugodi - 560...",500, Karnataka,Bangalore,"March  5, 2019"
871,I paid bribe of 800rs to TTE officer,Traveling without Ticket,"I have paid a bribe of 800rs to Mr R.K Mishra, because i was not getting ticket of Pushpak express so i asked him to help me to travel from lucknow to...",800, Uttar Pradesh,Lucknow,"March  3, 2019"
872,Https://supplementmegastore.net/,Disability Certificate,You should be cautious of Maximum Muscle Benefits In Minumum Time With Zephrofel. Maximum Muscle Benefits In Minumum Time With Zephrofel can have a pr...,50, Assam,Abhayapuri,"March  2, 2019"
873,Processing of Leave Encashment after Retirement,Pension Processing,"Paid two Installments of bribe to the School LDA who paid the money to Mrs. Rubi Bora of Office of Inspector of School, Nagaon District and Mr.  Dimpl...","10,000", Assam,Nagaon,"March  2, 2019"
874,Licence Extract,Driving Licenses and Tests,I needed a DL Extract among other documents  as required by my car insurance company to claim total loss of my vehicle after an accident. I was told t...,"1,500", Karnataka,Bangalore,"March  2, 2019"
875,Tips To Fit Nitrous Kit by RB Innovations,Others,Nitrous oxide is also recognized as laughing gas and it is compressed in liquid form and injected into the intake of your car engine. Nitrous is a tro...,"2,500", Delhi,New Delhi,"March  1, 2019"
876,Speed Post By bank ,Post and Parcel,"SBi sent corporate ATM into my address but that parcel went wrong address ""Pargha Post Office"" Postman-Ankur Gorai"" .I cheaked status of speedpost awb...",100, Jharkhand,Dhanbad,"March  1, 2019"
877,Paid bribe for job,Railway Services,Izaz khan working in railways in gulbarga district ...,"2,00,000", Karnataka,Gulbarga,"March  1, 2019"
878,Https://installmentloanerx.org/mx-male/,Excess Baggage,I don't suppose that holds a candle to Maximum Muscle Benefits In Minumum Time With MX Male. It's after all has been said and done. I have said beware...,250, Punjab,Abohar,"February 28, 2019"
879,Bribe to officer to renew post scheme agency,Money Order,"It was on 28th feb,2019. At Gujarat state Bachat Bhavan, Near Lal Darwaja. I don't know the name of the person, But the post was Deputy Director of sm...",200, Gujarat,Ahmedabad,"February 28, 2019"
880,I paid a bribe for passport verifaction,Autorickshaws,I paid a bribe for passport verification...,100, Gujarat,Mahesana,"February 28, 2019"
881,Paid to TTE from Agra to Delhi for allowing to travel in sleeper…,Others,"Paid to TTE from Agra to Delhi for allowing to travel in sleeper class with general ticket on 27 Feb 2019, Train No. 12147 KLP-NZM SF EXPRESS( S2 BHOG...",75, Uttar Pradesh,Mathura,"February 27, 2019"
882,Police used to take bribe money from every taxi driver at airport,"Traffic Fines, Penalties, Rules",Hello  sir.. my name is Ashutosh gupta i am an ola cab driver ..i often come to IGI airport ..where traffic police asks for bribe money ..today 27-2-2...,300, Delhi,New Delhi,"February 27, 2019"
883,BSA OFFICE HARDOI : what's doing local intelligence.all are sharing ,Employee Grievances,One clerk deputed from BSA taken money from me where should I complain every one is currupted.waiting from a courageous  honest officer who punish the...,"23,000", Uttar Pradesh,Hardoi,"February 26, 2019"
884,Powermatic 2+ Electric Cigarette Rolling Machine For Sale,Others,The Powermatic 2 (II) Plus Electric Cigarette Rolling Machine is a popular and inexpensive electric cigarette rolling machine. The Powermatic 2+ Elect...,"1,500", Delhi,New Delhi,"February 26, 2019"
885,Passport Police Verification,Verification and Certificates,"Location: Bellandur Police Station
Time: 12 30 PM
...",200, Karnataka,Bangalore,"February 26, 2019"
886,Thunder Tiger EB-4 Supercharger at RBinnovations.com,Others,Find great deals on RB Innovations (RBinnovations.com) for Thunder Tiger EB4 Supercharger in Radio-Controlled Petrol / Nitro Cars at best market price...,"2,500", Delhi,New Delhi,"February 26, 2019"
887,"Food samples picked up fromto avoid testing and following procedures, collecting 20k through his PA ",Policies and Procedures,"Food samples packed food, picked up from near village and asking entire of merchant team to come and meet in person to avoid any more samplingâs and...","20,000", Andhra Pradesh,Parvathipuram,"February 25, 2019"
888,Not renewed the depot licence,Timber Related,"Sir 
I am a student. i saw my father upset face that's why I am writing these to you. It's being a year the forest department high on the peach of tak...","35,000", Orissa,Raurkela,"February 25, 2019"
889,Best & Inexpensive AR10 Buffer Tube Kit at AR15 Handguard,Others,"Shop the widest gathering of best, cheap and inexpensive AR10 Buffer Tube Kit, .308 6-Position Mil-Spec Buffer Tube Assembly includes all the parts ne...","1,000", Delhi,New Delhi,"February 25, 2019"
890,Hoverboards Segway/Swegway Repair Services UK,Services,"Are you looking for best, cheap and reasonably priced Hoverboards Segway/Swegway Repair Services UK online then you have visited the accurate place an...","1,200", Telangana,Badepalle,"February 25, 2019"
891,Delhi MCD,Land Regulation Scheme,"Arun Sharma, Jo ki Delhi MCD mein hai, Alwar k rahne wale, bahut jyada rishwat khaate hai, kripya inquiry karwaye, unhone Alwar mein 2 plot liye hai, ...","4,00,000", Delhi,New Delhi,"February 24, 2019"
892,For making anti currption India I want to expose him,Verification and Certificates,"23.02.19 
7.00 pm
My father is uneducated so he did not say anything I want to justice early
The person name is Rajendra Kumar vishnoi
Police station ...","1,000", Rajasthan,Jalor,"February 23, 2019"
893,Https://installmentloanerx.org/praltrix/,Disability Related,Is there a way you can streamline it? That's how Praltrix pulverized the competition. Check out Praltrix. I was prompted by clubs to deal with this. ...,25, Assam,Abhayapuri,"February 23, 2019"
894,Traffic police took bribe forcing me,Public Transport,"I was humiliated from 5am , after showing the ticket of 15rs from koyembedu to Thiruvanmiyur by three traffic police their  govt jeep number is TN8 G ...",200, Tamil Nadu,Chennai,"February 23, 2019"
895,TRANS 1 APPROVAL,Service Tax,FORCED TO PAY BRIBE FOR APPROVAL OF GSTR TRANS 1 TO GST DEPARTMENT 2% OF TRANS 1 VALUE. MODI JI IS DREAMING CORRUPTION FREE. ...,"1,50,000", Karnataka,Bangalore,"February 22, 2019"
896,Threatened by entire office for fighting against payment of bribe,License for Sale of Drugs,"Deputy commissioner for food license, a lady.
Mr. Srinidhi, Mr. Madan
Location- Food license office, Opposite Jayachamarajendra Polytechnic, KR Circle...","3,000", Karnataka,Bangalore,"February 21, 2019"
897,Best and Inexpensive AR15 Laser and AR15 Light,Others,"If you are looking to buy online best, high quality & inexpensive ar15 laser, ar15 light, ar15 laser light, long range laser for ar 15, ar 15 laser sy...","1,200", Telangana,Badepalle,"February 20, 2019"
898,Corruption in GST Refunds,Sales Tax,"All the officers of Kalyan (Maharashtra) Sales tax and GST department ask for bribe. How to name one when the whole department is corrupt.
If there is...","30,000", Maharashtra,Kalyan,"February 20, 2019"
899,Curruption in ujjwala yojna.,Others,"According to ujjwala yojna free gas connection given yo every poor family.
But Gas distributor take 5000 for new ujjwala connection.

11/02/2019
11:30...","5,000", West Bengal,Mal,"February 19, 2019"
900,Buy 1/5th Scale Supercharger for G320 RC Engine HPI Only,Others,"We at RB Innovations or rbinnovations.com have widest assortment of best, cheap and inexpensive 1/5th Scale Supercharger for G320 RC engine HPI Only a...","1,000", Kerala,Calicut,"February 19, 2019"
901,Https://supplementmegastore.net/,Disability Related,"Direction:

Mix Two Heaping scoops of ON serious mass to a blender filled with 24 oz of water.
2. Blend for 50 to 60 second.

3. Add a couple of ice c...",250, Assam,Abhayapuri,"February 18, 2019"
902,For job in JNPT,Customs Check and Clearance,I & my 2 cousins paid bribe of more than 12 lakhs to a Agent 'sharma' in kamothe navi mumbai to get a govt. job in JNPT. Now he is cheating n giving r...,"12,00,000", Maharashtra,Navi Mumbai,"February 18, 2019"
903,Automatic Powermatic 3 or III Cigarette Machine For Sale,Others,"The automatic powermatic 3 or powermatic iii is the latest and greatest cigarette rolling machine and is very faster and easier than the Powermatic 2,...","1,000", Karnataka,Bangalore,"February 18, 2019"
904,Basic Shiksha Adhikari office hardoi,Certificates,"There is gang working to suck money from teachers. Every officer and clerk deputed there for money they are not satisfied from their payment.
I could ...","15,000", Uttar Pradesh,Hardoi,"February 18, 2019"
905,Buy 6.5â Inch Classic Hoverboard Swegway UK,Others,Shop online for safe 6.5 Inch Classic Hoverboard Swegway UK at Smart Boards UK (smartboardsuk.com) as we are the most trusted hoverboard swegway retai...,"1,000", Karnataka,Bangalore,"February 18, 2019"
906,Demanding for bribe.,Ticket and Seat Related,"18/02/2019,  Travelling from New Delhi to Bathinda in Punjab Mail Train No. 12137.
TTE is demanding for bribe from everyperson travelling that night a...",200, Delhi,New Delhi,"February 18, 2019"
907,International Driving License,"Traffic Fines, Penalties, Rules","A cop pulled me over not because I did anything wrong just because I apparently looked foreign and was driving a nice bike, Bajaj Dominar 400cc.
They ...",550, Goa,Panaji,"February 17, 2019"
908,Fine drunk while driving bike,"Traffic Fines, Penalties, Rules","27, Dickenson Rd, Rukmani Colony, Ulsoor, Bengaluru, Karnataka 560042. 
I don't know the name of that police official, but I have proof as video ....","5,000", Karnataka,Bangalore,"February 17, 2019"
909,Corruption is our country just like blood circulate our body,Employee Grievances,I think no one can take action whole system is corrupted where we can comlain officer did not take bribe ounself there special person for this work du...,"25,000", Uttar Pradesh,Hardoi,"February 16, 2019"
910,Bribe asked by Kolkata Police Officer,Autorickshaws,"I am app cab driver, met with a serious accident with Honda Amaze car, WB07J5601. Both passenger & me were unhurt, but car is in very bad condition. P...","6,000", West Bengal,Kolkata,"February 15, 2019"
911,Paid the bribe to get a room to stay overnight.,Religious Institutions,I have paid the bribe to the person in-charge during the night shift on Sri Kanchi Kamakoti Peetam Sankara Matam to stay overnight. We were 12people a...,"2,000", Andhra Pradesh,Tirupati,"February 15, 2019"
912,Paid 8500 for Apartment Registration,Property Registration,"Hi, 

I was asked to pay 8500 Rs as a bride to a sub registration office in Byatranyapura Bangalore. 

Thanks,
Avinash ...","8,500", Karnataka,Bangalore,"February 15, 2019"
913,Ugly Face of Kolkata Traffic Police,Registrations and Licenses,"Well, Today I saw the ugly face of Kolkata Police. When I returned to my home from Strand Road, near posta a traffic sergeant stopped me. There was no...",200, West Bengal,Kolkata,"February 14, 2019"
914,Lower Slide Assembly for Revolution Tobacco Cigarette Machine,Others,"We at Hard Working Products (hardworkingproducts.com) sell all things RYO tobacco and also offer the fastest, best lower slide assembly for revolution...","1,289", Delhi,New Delhi,"February 14, 2019"
915,Losi 5ive Upgrade Parts at RBinnovations.com,Others,"Shop online for best and cheap losi 5ive upgrade parts at  RB Innovations (rbinnovations.com) automotive  store and more from servo arm, losi 5ive, lo...","1,200", Delhi,New Delhi,"February 14, 2019"
916,Payed for banking works,Loan Sanctioning,This is  a test report and will be you are the best person and will be you can do this for more infor and will be...,"12,000", Punjab,Abohar,"February 13, 2019"
917,I told staff to serve my notice from past 1.5 years they cant serve my notice i gave them 1200 to se,Services,"33/2017. 
30/2016.  S.d j.d kalyan.           From past 1.5year they not able to share my notice i gave them 1200 but they have unity in kalyan court ...","1,200", Maharashtra,Kalyan,"February 13, 2019"
918,Ti tax inspectior mahesh in jeevanahalli asked bride7000 ,Certificates,Ti mahesh in jeevanahalli ward cox town asked me to pay abride of 7000 for reduction in payment of property tax if people take tax payer monet as brid...,"7,000", Karnataka,Bangalore,"February 13, 2019"
919,AR15 LPK & Lower Part Kit at AR15handguard.com,Others,"We at AR15 Handguard (ar15handguard.com) have widest collection of best, cheap and inexpensive hunting AR Handguard products like ar15 lpk, ar15 lower...","1,000", Delhi,New Delhi,"February 12, 2019"
920,Hoverboard 6.5 Inch White Replacement Case Shell With Arch Bump Strips,Others,"If youâre looking to buy best and cheap hoverboard 6.5 inch white replacement case shell with arch bump strips for sale online in Leeds, UK then loo...",100, Delhi,New Delhi,"February 12, 2019"
921,Bribe for no reason ,Driving Licenses and Tests,Actually I didn't pay it directly but went through an driving school in tambaram. We cannot tell what they did was false.. Because each official in th...,"1,200", Tamil Nadu,Chennai,"February 11, 2019"
922,DRINK AND DRIVE ,"Traffic Fines, Penalties, Rules","A YOUNG POLICE SHOWED HOW HE MAY HE BECOME CORRUPT IN COMING DAYS. I DID NOT HAVE TO PAY HIS DEMAND OF 2K SO I ALSO GOT SLAPPES, HE ALSO WARNED ME OF ...","1,259", Karnataka,Bangalore,"February 10, 2019"
923,Taken bribe,Vehicle Fitness,He took 500rs fine at durgapur muchipara tarning for pollution check paper which was outdated only for one day and was behaving rudely to the females....,500, West Bengal,Durgapur,"February  8, 2019"
924,Asked to pay a bribe,Business Visa,Cdwqjvhqwkgvuwdw ejfekugfew ehuefg ejefwhef ewkhwhug ihf2hruur3 ejfiirgugudq eqkfjeihwhfeu...,"1,00,000", Maharashtra,Mumbai,"February  8, 2019"
925,Officials openly asking for bribe to do my work,Building and Housing,"This incident took place in noida authority office sector 6
4th feb 2019
Lawyer Chadra Shekhar has asked for 35000 from me to complete his own work fo...","35,000", Uttar Pradesh,Noida,"February  8, 2019"
926,Asking bribe for vehicle release,Policies and Procedures,My bike was stolen from Banashankari. The police named Rathod in Banashankari police station bangalore is not releasing my bike unless I pay 10000...,"10,000", Karnataka,Bangalore,"February  8, 2019"
927,Asked for bribe at the time  transfer of the house,Building and Housing,"There is open amount (35000) which is known by everyone in the authority.

I was not clear why i have to pay that amount- we though we will get some r...","3,50,000", Uttar Pradesh,Noida,"February  7, 2019"
928,Paid bribe for no bike insurance,"Traffic Fines, Penalties, Rules",I forgot my bike insurance paper at home. I told the cop ill get it and be back and he could keep my DL with him since i was hardly 600m from home.  H...,300, Karnataka,Bangalore,"February  7, 2019"
929,Buying police clearance,Police Clearance Certificate,"Police station of parrapanaagrahara
Passport clearance officer
Time:11am
Date:31/12/18...","2,000", Karnataka,Bangalore,"February  7, 2019"
930,Madurai Kamaraj university is a shop selling degrees,School or College Related,Everything from exam marks to degree certificate issuace has a bribe attached to it. I havenât met a single honest staff in mku. Please investigate ...,"2,00,000", Tamil Nadu,Madurai,"February  6, 2019"
931,Complain against gang forging documents to illegally acquire land,FIR and Complaints,S.I Manna singh kuntiya posted in nagar thana jehanabad along with S.I Dharmendra kumar of the same police station took 20000 rs and now demanding tab...,"20,000", Bihar,Jehanabad,"February  6, 2019"
932,Hypothetication cancellation ,Services,"01:30 PM IST 
Person's name - Malik 
Fees for Hypothetication cancellation is 25 rupees but i was asked to pay 100 Rupees. ...",75, Tamil Nadu,Chennai,"February  6, 2019"
933,Shweta Agarwal - Debanjan Ghosh bribe Scandal,Court Related,"On 6th April 2017 Shweta Agarwal D/o Ashoka Agarwal of Anjani Enterprises , Bengal engineering works , 130 burdwan road  along with Avrojyoti Das , S/...","5,00,000", West Bengal,Siliguri,"February  6, 2019"
934,CY Carburetor Gasket for RC Engines â RB Innovations,Others,"Online shopping for best and inexpensive Rebuild Kits, Carburetor Gasket For RC Engine & Parts from a great selection at best Automotive Store called ...",100, Gujarat,Ahwa,"February  6, 2019"
935,Driving in a no- entry road,"Traffic Fines, Penalties, Rules",I drove on a one way street (robertson road) and was stopped by a police checkpost on the  robertson road-wheeler road junction. The two police office...,200, Karnataka,Bangalore,"February  5, 2019"
936,AR or AR15 Buffer Tube at https://www.ar15handguard.com/ar-buffer-tube-stock,Others,"We at AR15 Handguard (ar15handguard.com) have widest collection of best and inexpensive A1 A2 Buffer Tube, AR Buffer Tube, AR15 Buffer Tube, AR15 Pist...","1,200", Delhi,New Delhi,"February  4, 2019"
937,Buy Solar Cigarette Lighter & Cigarette Pocket Case,Others,"Buy best, affordable and high quality cigarette pocket case and solar cigarette lighter online from Hardworking Products (hardworkingproducts.com) in ...",100, Delhi,New Delhi,"February  4, 2019"
938,Disco Led 6.5â³ Classic Hoverboard Swegway in Galaxy Design,Others,"If youâre looking to buy best and cheap Disco Led  Classic Hoverboard Swegway in Galaxy Design sale online in Leeds, UK then look no further, we at ...","1,000", Delhi,New Delhi,"February  4, 2019"
939,Nitrous Injection Kits & Systems at RBinnovations.com,Others,"We at RB Innovations Inc. offer you best and a larger variety of nitrous injection kits and nitrous injection systems at best market price in Minoa, N...","1,200", Delhi,New Delhi,"February  4, 2019"
940,Bribe for passing students in  practical intermediate examination ,School or College Related,I and my Bach mate were asked to pay 1000 before my practicals which were Going to be held 03-02-2019. Its very sad to know that our education system ...,"1,000", Andhra Pradesh,Vijayawada,"February  3, 2019"
941,Asking bribe I saw taking bribe form another,"Traffic Fines, Penalties, Rules","Asking bribe  for license not care location 
Andheri West oshiwara opp mege mall nera Meera tower  time 6.30pm 02/02/19 police car number mh 01 An 225...",200, Maharashtra,Mumbai,"February  2, 2019"
942,Had paid Bribe to VRO for land passbook registration,Land Registration,We have been visiting Mandal Revenue office for last 2 years regularly for land passbook registration for which  the respective department officials a...,"3,500", Andhra Pradesh,Chittoor,"February  1, 2019"
